Time t / s,Current I_1 / A
0,0
0.01,-0.00049995
0.02,0
0.03,-0.00049995
0.04,0
0.05,0.00049995
0.06,0.0009999
0.07,0
0.08,0.00049995
0.09,0.00149985
0.1,-0.00049995
0.11,0
0.12,0.00049995
0.13,0.00049995
0.14,-0.00049995
0.15,0
0.16,-0.00049995
0.17,-0.0009999
0.18,-0.00049995
0.19,0
0.2,-0.00049995
0.21,0
0.22,0
0.23,0.00049995
0.24,0.00049995
0.25,0
0.26,-0.00049995
0.27,0
0.28,-0.00049995
0.29,-0.00049995
0.3,0
0.31,0
0.32,-0.00049995
0.33,-0.00049995
0.34,0
0.35,-0.00049995
0.36,-0.00049995
0.37,0
0.38,0.0009999
0.39,0
0.4,0
0.41,0.00049995
0.42,0.00049995
0.43,-0.00049995
0.44,-0.00049995
0.45,0
0.46,0
0.47,-0.00049995
0.48,-0.00049995
0.49,0
0.5,-0.00049995
0.51,-0.0019998
0.52,-0.0139986
0.53,-0.03049695
0.54,-0.0389961
0.55,-0.0119988
0.56,-0.029997
0.57,-0.03349665
0.58,-0.02649735
0.59,-0.00849915
0.6,-0.04649535
0.61,-0.0619938
0.62,-0.01749825
0.63,-0.00049995
0.64,0.0009999
0.65,0.04249575
0.66,0.2549745
0.67,0.349965
0.68,0.37246275
0.69,0.3419658
0.7,0.3809619
0.71,0.2409759
0.72,-0.00949905
0.73,-0.1249875
0.74,-0.46545345
0.75,-0.46645335
0.76,-0.4639536
0.77,-0.2549745
0.78,0.1279872
0.79,0.65243475
0.8,0.71242875
0.81,0.64343565
0.82,0.21047895
0.83,-0.36746325
0.84,-0.79942005
0.85,-0.68243175
0.86,-0.35646435
0.87,0.3109689
0.88,0.88541145
0.89,0.7229277
0.9,0.2859714
0.91,-0.37746225
0.92,-0.8269173
0.93,-0.70542945
0.94,-0.24547545
0.95,0.4819518
0.96,0.8489151
0.97,0.72242775
0.98,0.1829817
0.99,-0.52644735
1,-0.7369263
1.01,-0.65043495
1.02,-0.0859914
1.03,0.6879312
1.04,0.82441755
1.05,0.6319368
1.06,-0.0429957
1.07,-0.8149185
1.08,-0.7879212
1.09,-0.42845715
1.1,0.4069593
1.11,0.93340665
1.12,0.7509249
1.13,0.0319968
1.14,-0.8329167
1.15,-0.75542445
1.16,-0.23747625
1.17,0.61143885
1.18,0.8539146
1.19,0.34646535
1.2,-0.53844615
1.21,-0.70542945
1.22,-0.3059694
1.23,0.5979402
1.24,0.7539246
1.25,0.2169783
1.26,-0.67743225
1.27,-0.61043895
1.28,-0.04649535
1.29,0.99940005
1.3,0.82041795
1.31,-0.1329867
1.32,-0.7969203
1.33,-0.50544945
1.34,0.4849515
1.35,0.9409059
1.36,0.3189681
1.37,-0.87141285
1.38,-0.7769223
1.39,0.1749825
1.4,0.9759024
1.41,0.4469553
1.42,-0.84841515
1.43,-0.76242375
1.44,0.30546945
1.45,0.91140885
1.46,0.1839816
1.47,-0.95840415
1.48,-0.5119488
1.49,0.74842515
1.5,0.8179182
1.51,-0.1059894
1.52,-0.8969103
1.53,-0.2869713
1.54,0.9489051
1.55,0.74742525
1.56,-0.29847015
1.57,-0.8409159
1.58,-0.1749825
1.59,1.0238976
1.6,0.6829317
1.61,-0.489951
1.62,-0.8659134
1.63,-0.04049595
1.64,0.99340065
1.65,0.4739526
1.66,-0.81141885
